-------------------------
PID Controller Parameters:
Position PID: P: 0.5, I: 0, D: 3
Orientation PID: P: 0.5, I: 0, D: 3
Linear Velocity PID: P: 1, I: 0, D: 1
Angular Velocity PID: P: 1, I: 0, D: 0
-------------------------
[2025-03-26_22-23-02.710] Received Bspline message - pos_pts size: 26, yaw_pts size: 74, order=3
----- Control Points -----
Point[91]: time = 9.1, pos = (1.34454, 0, 0), vel = (0.349596, 0, 0), yaw = 0, yaw_dot = 0
Point[92]: time = 9.2, pos = (1.3797, 0, 0), vel = (0.353619, 0, 0), yaw = 0, yaw_dot = 0
Point[93]: time = 9.3, pos = (1.41526, 0, 0), vel = (0.357594, 0, 0), yaw = 0, yaw_dot = 0
Point[94]: time = 9.4, pos = (1.45122, 0, 0), vel = (0.361515, 0, 0), yaw = 0, yaw_dot = 0
Point[95]: time = 9.5, pos = (1.48756, 0, 0), vel = (0.365382, 0, 0), yaw = 0, yaw_dot = 0
Point[96]: time = 9.6, pos = (1.52429, 0, 0), vel = (0.369194, 0, 0), yaw = 0, yaw_dot = 0
Point[97]: time = 9.7, pos = (1.5614, 0, 0), vel = (0.372953, 0, 0), yaw = 0, yaw_dot = 0
Point[98]: time = 9.8, pos = (1.59888, 0, 0), vel = (0.376658, 0, 0), yaw = 0, yaw_dot = 0
Point[99]: time = 9.9, pos = (1.63673, 0, 0), vel = (0.380309, 0, 0), yaw = 0, yaw_dot = 0
Point[100]: time = 10, pos = (1.67494, 0, 0), vel = (0.383906, 0, 0), yaw = 0, yaw_dot = 0
Point[101]: time = 10.1, pos = (1.71351, 0, 0), vel = (0.387449, 0, 0), yaw = 0, yaw_dot = 0
Point[102]: time = 10.2, pos = (1.75243, 0, 0), vel = (0.390936, 0, 0), yaw = 0, yaw_dot = 0
Point[103]: time = 10.3, pos = (1.79169, 0, 0), vel = (0.394366, 0, 0), yaw = 0, yaw_dot = 0
Point[104]: time = 10.4, pos = (1.8313, 0, 0), vel = (0.397737, 0, 0), yaw = 0, yaw_dot = 0
Point[105]: time = 10.5, pos = (1.87124, 0, 0), vel = (0.401049, 0, 0), yaw = 0, yaw_dot = 0
Point[106]: time = 10.6, pos = (1.91151, 0, 0), vel = (0.404303, 0, 0), yaw = 0, yaw_dot = 0
Point[107]: time = 10.7, pos = (1.9521, 0, 0), vel = (0.407497, 0, 0), yaw = 0, yaw_dot = 0
Point[108]: time = 10.8, pos = (1.993, 0, 0), vel = (0.410634, 0, 0), yaw = 0, yaw_dot = 0
Point[109]: time = 10.9, pos = (2.03422, 0, 0), vel = (0.413711, 0, 0), yaw = 0, yaw_dot = 0
Point[110]: time = 11, pos = (2.07574, 0, 0), vel = (0.41673, 0, 0), yaw = 0, yaw_dot = 0
Point[111]: time = 11.1, pos = (2.11757, 0, 0), vel = (0.41969, 0, 0), yaw = 0, yaw_dot = 0
Point[112]: time = 11.2, pos = (2.15968, 0, 0), vel = (0.42259, 0, 0), yaw = 0, yaw_dot = 0
Point[113]: time = 11.3, pos = (2.20208, 0, 0), vel = (0.425429, 0, 0), yaw = 0, yaw_dot = 0
Point[114]: time = 11.4, pos = (2.24476, 0, 0), vel = (0.428209, 0, 0), yaw = 0, yaw_dot = 0
Point[115]: time = 11.5, pos = (2.28772, 0, 0), vel = (0.430928, 0, 0), yaw = 0, yaw_dot = 0
Point[116]: time = 11.6, pos = (2.33095, 0, 0), vel = (0.433588, 0, 0), yaw = 0, yaw_dot = 0
Point[117]: time = 11.7, pos = (2.37444, 0, 0), vel = (0.436187, 0, 0), yaw = 0, yaw_dot = 0
Point[118]: time = 11.8, pos = (2.41818, 0, 0), vel = (0.438726, 0, 0), yaw = 0, yaw_dot = 0
Point[119]: time = 11.9, pos = (2.46218, 0, 0), vel = (0.441205, 0, 0), yaw = 0, yaw_dot = 0
Point[120]: time = 12, pos = (2.50642, 0, 0), vel = (0.443623, 0, 0), yaw = 0, yaw_dot = 0
Point[121]: time = 12.1, pos = (2.5509, 0, 0), vel = (0.445983, 0, 0), yaw = 0, yaw_dot = 0
Point[122]: time = 12.2, pos = (2.59562, 0, 0), vel = (0.448284, 0, 0), yaw = 0, yaw_dot = 0
Point[123]: time = 12.3, pos = (2.64056, 0, 0), vel = (0.450527, 0, 0), yaw = 0, yaw_dot = 0
Point[124]: time = 12.4, pos = (2.68572, 0, 0), vel = (0.452711, 0, 0), yaw = 0, yaw_dot = 0
Point[125]: time = 12.5, pos = (2.7311, 0, 0), vel = (0.454837, 0, 0), yaw = 0, yaw_dot = 0
Point[126]: time = 12.6, pos = (2.77669, 0, 0), vel = (0.456905, 0, 0), yaw = 0, yaw_dot = 0
Point[127]: time = 12.7, pos = (2.82248, 0, 0), vel = (0.458914, 0, 0), yaw = 0, yaw_dot = 0
Point[128]: time = 12.8, pos = (2.86847, 0, 0), vel = (0.460864, 0, 0), yaw = 0, yaw_dot = 0
Point[129]: time = 12.9, pos = (2.91465, 0, 0), vel = (0.462757, 0, 0), yaw = 0, yaw_dot = 0
Point[130]: time = 13, pos = (2.96102, 0, 0), vel = (0.464593, 0, 0), yaw = 0, yaw_dot = 0
Point[131]: time = 13.1, pos = (3.00757, 0, 0), vel = (0.466376, 0, 0), yaw = 0, yaw_dot = 0
Point[132]: time = 13.2, pos = (3.05429, 0, 0), vel = (0.468105, 0, 0), yaw = 0, yaw_dot = 0
Point[133]: time = 13.3, pos = (3.10118, 0, 0), vel = (0.469781, 0, 0), yaw = 0, yaw_dot = 0
Point[134]: time = 13.4, pos = (3.14824, 0, 0), vel = (0.471403, 0, 0), yaw = 0, yaw_dot = 0
Point[135]: time = 13.5, pos = (3.19546, 0, 0), vel = (0.472972, 0, 0), yaw = 0, yaw_dot = 0
Point[136]: time = 13.6, pos = (3.24284, 0, 0), vel = (0.474488, 0, 0), yaw = 0, yaw_dot = 0
Point[137]: time = 13.7, pos = (3.29036, 0, 0), vel = (0.47595, 0, 0), yaw = 0, yaw_dot = 0
Point[138]: time = 13.8, pos = (3.33802, 0, 0), vel = (0.477359, 0, 0), yaw = 0, yaw_dot = 0
Point[139]: time = 13.9, pos = (3.38583, 0, 0), vel = (0.478716, 0, 0), yaw = 0, yaw_dot = 0
